dataset_id,local_path,file_name,file_type,file_size,row_count,column_names,paper_section_using_it,figures_using_it,script_using_it,status,original_source_url,citation_key,license,checksum_sha256,public_downloadable,mirrored_locally,notes
instrument_cmbs4,data/instrument_cmbs4_example.csv,instrument_cmbs4_example.csv,CSV,0.7 KB,27,"ell,N_ell_EE,beam_fwhm_arcmin,f_sky_override",Sec 8,supporting,,derived_public,https://cmb-s4.org/wiki/index.php/Survey_Performance_Expectations,CMBS4Science2016,public,d7b064334f5b593313d56cd4a53368f7b2506b014041ff6506624225376f43ba,yes,yes,"CMB-S4 noise specification. Based on published performance expectations. Reproducible."
eb_spin_timeline,public/spreadsheets/EB_Spin_Significance_Timeline__Preview_.csv,EB_Spin_Significance_Timeline__Preview_.csv,CSV,0.6 KB,10,"Year,CMB_Significance_sigma,Galaxy_Significance_sigma,Combined_Significance_sigma,Combined_Significance_sigma_calc",Sec 8 / Fig 7,Figure 7,,internal_summary,N/A — forecasts,N/A,N/A,,no,yes,"Projection timeline spreadsheet for web visualization. Combined = sqrt(cmb^2 + gal^2). Not observational data."
toy_rotation_model,public/spreadsheets/Toy_Rotation_Model___Expansion___Distance_Impact.csv,Toy_Rotation_Model___Expansion___Distance_Impact.csv,CSV,0.3 KB,3,"z,E_ratio_const_Omega,E_ratio_scaling_n4,delta_chi_const,delta_chi_scaling_n4",Sec 3,supporting,,internal_summary,N/A — toy model,N/A,N/A,,no,yes,3-row toy model illustrating rotation impact on expansion. Pedagogical.
figure_1_xlsx,public/spreadsheets/figure_1_lqg_holst_complete_data.xlsx,figure_1_lqg_holst_complete_data.xlsx,XLSX,14.5 KB,unknown,unknown,Sec 2 / Fig 1,Figure 1,,internal_summary,N/A — model diagram data,N/A,N/A,,no,yes,LQG Holst action illustration data. Theory-derived.
figure_2_xlsx,public/spreadsheets/figure_2_galaxy_spin_complete_data.xlsx,figure_2_galaxy_spin_complete_data.xlsx,XLSX,6.5 KB,unknown,unknown,Sec 3.3 / Fig 2,Figure 2,,reconstructed,N/A,Shamir2012;Shamir2022,N/A,,no,yes,Galaxy spin figure data in spreadsheet form. Same underlying data issues as galaxy_spin_data.csv.
figure_3_xlsx,public/spreadsheets/figure_3_tension_resolution_complete_data.xlsx,figure_3_tension_resolution_complete_data.xlsx,XLSX,8.4 KB,unknown,unknown,Sec 4 / Fig 3,Figure 3,,internal_summary,N/A,Planck2018;Riess2022,N/A,,no,yes,Tension resolution comparison data.
figure_3a_xlsx,public/spreadsheets/figure_3a_tension_overview_complete_data.xlsx,figure_3a_tension_overview_complete_data.xlsx,XLSX,5.3 KB,unknown,unknown,Sec 4 / Fig 3a,Figure 3a,,internal_summary,N/A,N/A,N/A,,no,yes,H0/sigma8 model comparison overview.
figure_3b_xlsx,public/spreadsheets/figure_3b_tension_detailed_complete_data.xlsx,figure_3b_tension_detailed_complete_data.xlsx,XLSX,8.6 KB,unknown,unknown,Sec 4 / Fig 3b,Figure 3b,,internal_summary,N/A,N/A,N/A,,no,yes,H(z) detailed comparison.
figure_6_xlsx,public/spreadsheets/figure_6_parameter_naturalness_complete_data.xlsx,figure_6_parameter_naturalness_complete_data.xlsx,XLSX,11.7 KB,unknown,unknown,Sec 6 / Fig 6,Figure 6,,internal_summary,N/A,N/A,N/A,,no,yes,Parameter naturalness comparison data.
figure_7_xlsx,public/spreadsheets/figure_7_observational_timeline_complete_data.xlsx,figure_7_observational_timeline_complete_data.xlsx,XLSX,8.8 KB,unknown,unknown,Sec 8 / Fig 7,Figure 7,,internal_summary,N/A — forecasts,N/A,N/A,,no,yes,Observational timeline forecast data.
wp4_reheat_scan,research/paper2/wp4_dneff_microphysics/runs/reheat_001/scan_results.csv,scan_results.csv,CSV,~2 MB,24000,"Br_dr,g_star_hidden,Treh_GeV,Delta_Neff,BBN_OK,CMB_OK,Target,Allowed",Paper 2 WP4,internal Paper 2 figures,research/paper2/wp4_dneff_microphysics/,derived_public,N/A — computed scan,N/A,N/A,,no,yes,"24k-row parameter scan grid. Derived from theoretical model + BBN/CMB consistency checks. Fully reproducible from code."
wp4_decay_scan,research/paper2/wp4_dneff_microphysics/runs/decay_001/scan_results.csv,scan_results.csv,CSV,~3 MB,32000,"m_X_GeV,tau_X_sec,Br_dark,Y_X,Delta_Neff,BBN_OK,CMB_OK,Target,Allowed",Paper 2 WP4,internal Paper 2 figures,research/paper2/wp4_dneff_microphysics/,derived_public,N/A — computed scan,N/A,N/A,,no,yes,"32k-row decay parameter scan. Derived from theoretical model. Fully reproducible from code."
wp5_mc_samples,research/paper2/archives/.../wp5_spin_amplitude/runs/first_run/mc_samples.csv,mc_samples.csv,CSV,~15 MB,100000,unknown,Paper 2 WP5,(internal),research/paper2/wp5_spin_amplitude/monte_carlo_sensitivity.py,derived_public,N/A — Monte Carlo output,N/A,N/A,,no,yes,"100k Monte Carlo sensitivity samples. Derived from theoretical model + galaxy spin counts. Fully reproducible."
p7_catalog_synthetic,research/paper2/archives/.../p7_cnn_spin_classifier/data/catalog.csv,catalog.csv,CSV,~130 KB,2000,"objid,ra,dec,label,gz_cw_frac,gz_ccw_frac,split",Paper 2 P7,(internal),research/paper2/p7_cnn_spin_classifier/,internal_summary,N/A — synthetic test data,N/A,N/A,,no,yes,"SYNTHETIC DATA: 2000-row catalog with 'syn_cw_' prefixed IDs, random coordinates, and simulated GZ vote fractions. Not real galaxy data. Used only for pipeline testing."
p7_null_catalog,research/paper2/archives/.../p7_cnn_spin_classifier/data/null_catalog.csv,null_catalog.csv,CSV,~13 KB,200,same as catalog.csv,Paper 2 P7,(internal),research/paper2/p7_cnn_spin_classifier/,internal_summary,N/A — synthetic null test,N/A,N/A,,no,yes,Null test version of synthetic catalog. 200 rows.
mcmc_convergence,reproducibility/cosmology/convergence_latest.csv,convergence_latest.csv,CSV,~2 KB,28,"dataset,param,Rhat_all,Rhat_m1_all,ESS_all,drift_all,Rhat_new,Rhat_m1_new,ESS_new,drift_new",Paper 1 Sec 5-6,(diagnostic),reproducibility/cosmology/mcmc_monitor_v6.py,derived_public,N/A — MCMC diagnostic,N/A,N/A,,no,yes,Live convergence diagnostics from running MCMC chains. Updated hourly.
mcmc_chain_means,reproducibility/cosmology/chain_means_latest.csv,chain_means_latest.csv,CSV,~3 KB,varies,"dataset,chain,cohort,rows,H0,delta_neff,tau",Paper 1 Sec 5-6,(diagnostic),reproducibility/cosmology/mcmc_monitor_v6.py,derived_public,N/A — MCMC output,N/A,N/A,,no,yes,Per-chain mean parameter values. Internal diagnostic.
dataset_chain_map,reproducibility/cosmology/dataset_chain_map.csv,dataset_chain_map.csv,CSV,~1 KB,varies,"dataset,chain_dir,chain_id,status",internal,(none),,internal_summary,N/A,N/A,N/A,,no,yes,Maps dataset names to chain directory paths.
lit_galaxy_spin,research/outputs/lit_galaxy_spin_2024_2026.json,lit_galaxy_spin_2024_2026.json,JSON,~500 KB,varies,"bibcode,abstract,author,doi,title,year,citation_count",Literature survey,(none),,raw_public,https://ui.adsabs.harvard.edu/,various,public,,yes,yes,"ADS literature search results for galaxy spin papers 2024-2026. Machine-readable bibliography."
dataset_registry_shared,research/paper2/shared/dataset_registry.csv,dataset_registry.csv,CSV,~5 KB,13,"dataset_id,name,version,source_url,track,description,access_method,license,hash,size_estimate,storage_path,notes",Paper 2 all tracks,(none),,internal_summary,N/A — registry,N/A,N/A,,no,yes,"Master dataset registry for Paper 2 tracks. Well-documented provenance for each entry."
planck2018_params,N/A — literature values,N/A,literature reference,N/A,N/A,N/A,"Sec 4, Table comparisons","Figs 3, 6",,raw_public,https://arxiv.org/abs/1807.06209,Planck2018VI,CC-BY-4.0,N/A,yes,no,"Reference parameter values from Planck 2018. No download needed — values cited from published tables."
planck_pr4_maps,N/A — on RunPod only,N/A,FITS maps,~13 GB,N/A,HEALPix pixel data,Paper 2 P6,(P6 internal),research/paper2/p6_cmb_eb_pipeline/,raw_public,https://pla.esac.esa.int/#maps,EskiltPR4,ESA-PSL,N/A,yes,no (on RunPod),"Planck PR4 NPIPE maps. Downloaded to RunPod pod, not mirrored locally. ~13 GB."
galaxy_zoo_decals,N/A — on RunPod only,gz_decals_volunteers.csv,CSV,~500 MB,~314000,"(Galaxy Zoo classification columns)",Paper 2 P7,(P7 internal),research/paper2/p7_cnn_spin_classifier/,raw_public,https://zenodo.org/records/4573248,Walmsley2022,CC-BY-4.0,N/A,yes,no (on RunPod),"Galaxy Zoo DECaLS volunteer classifications. Downloaded to RunPod pod only. ~314k galaxies."
